text,label
Post office parcel fee,Miscellaneous
Internet bill for PG,Housing
Fuel for bike,Transportation
Recurring deposit payment,Saving & Debt
Medicines from local pharmacy,Healthcare
Accidental insurance for college,Insurance
Music concert tickets,Recreation
Library membership fee,Education
Eye checkup at optician,Healthcare
Term insurance premium,Insurance
Prize money from competition,Income
Education loan EMI,Saving & Debt
Haircut at local salon,Personal Spending
Groceries from local store,Shopping
Bus pass recharge,Transportation
Sports event tickets,Recreation
Online shopping on Flipkart,Personal Spending
Invested in fixed deposit,Investments
Mobile recharge for prepaid plan,Utilities
Health insurance premium,Insurance
Monthly savings deposit,Saving & Debt
Scholarship received,Income
Monthly allowance from parents,Income
Flight booking for vacation,Transportation
Clothes from Myntra,Shopping
Donation to charity,Miscellaneous
Street food at local market,Food
Sunglasses from Ray-Ban,Personal Spending
Bicycle repair charges,Transportation
Interest from fixed deposit,Income
LPG bill payment,Utilities
Ola ride to railway station,Transportation
Laundry service payment,Housing
Room cleaning service fee,Housing
Online course subscription,Education
Dividend from stocks,Income
COVID-19 test fee,Healthcare
Started a SIP in Nifty 50,Investments
Train ticket to hometown,Transportation
Fuel for bike,Transportation
Gold purchase,Saving & Debt
Purchased gold coins,Investments
Refund from online purchase,Income
Mobile recharge for prepaid plan,Utilities
Clothes from Myntra,Shopping
Pizza delivery from Domino's,Food
Diwali gift for family,Gifts
Two-wheeler insurance payment,Insurance
Groceries from local store,Food
Uber ride to friend's place,Transportation
Prize money from competition,Income
Electricity bill for shared apartment,Housing
Ayurvedic treatment payment,Healthcare
Taxi fare to airport,Travel
Laundry service payment,Housing
Invested in mutual funds,Investments
Gym membership fee,Healthcare
Video game purchase,Recreation
Ice cream at Naturals,Food
Housewarming gift,Gifts
Dividend from stocks,Income
Gift for friend's birthday,Personal Spending
Uber ride to friend's place,Transportation
Stationery purchase for college,Education
Canteen lunch at college,Food
Started a SIP in Nifty 50,Investments
Monthly rent for PG accommodation,Housing
Car insurance payment,Insurance
Car insurance payment,Insurance
Cosmetics from Sephora,Personal Spending
Groceries from local store,Shopping
Health insurance premium,Insurance
Fuel for bike,Transportation
Travel insurance payment,Travel
Dinner at a local dhaba,Food
Monthly rent for PG accommodation,Housing
Recurring deposit payment,Saving & Debt
Train ticket to hometown,Transportation
Furniture purchase for room,Housing
Music concert tickets,Recreation
Furniture purchase for room,Housing
Electronics from Amazon,Shopping
Travel insurance for trip,Insurance
Thank you gift for teacher,Gifts
Thank you gift for teacher,Gifts
Invested in mutual funds,Investments
Sightseeing tour fee,Travel
Sports equipment purchase,Shopping
Internet bill for PG,Housing
Donation to charity,Gifts
Ice cream at Naturals,Food
Flight booking to Goa,Travel
Juice from fruit vendor,Food
Farewell gift for colleague,Gifts
Amusement park entry fee,Recreation
Diwali gift for family,Gifts
Anniversary gift for parents,Gifts
ATM withdrawal fee,Miscellaneous
Peer-to-peer lending,Investments
Groceries from local store,Shopping
LPG bill payment,Utilities
Piggy bank savings,Saving & Debt
Fuel for bike,Transportation
Gym membership fee,Healthcare
Furniture from Pepperfry,Shopping
Car insurance payment,Insurance
Metro card top-up,Transportation
Parking fee at mall,Transportation
Haircut at local salon,Personal Spending
Photocopy charges,Miscellaneous
Shoes from Nike,Shopping
Security deposit for new room,Housing
Flight booking to Goa,Travel
Donation to charity,Miscellaneous
Shoes from Nike,Shopping
Movie tickets at PVR,Recreation
Loan repayment to friend,Saving & Debt
Auto rickshaw fare to college,Transportation
Thank you gift for teacher,Gifts
Sports equipment purchase,Shopping
Haircut at local salon,Personal Spending
Parking fee at mall,Miscellaneous
Bought textbooks,Education
Accessories from Flipkart,Shopping
Health supplement purchase,Healthcare
Festival gift for relatives,Gifts
Maintenance charges for shared apartment,Housing
Train ticket to Delhi,Travel
Ola ride to railway station,Transportation
Started a SIP in Nifty 50,Investments
Eye checkup at optician,Healthcare
Two-wheeler insurance payment,Insurance
Electricity bill for shared apartment,Housing
Peer-to-peer lending,Investments
Hotel booking for trip,Travel
Pizza delivery from Domino's,Food
Cable TV subscription fee,Utilities
Travel insurance payment,Travel
Gadgets from Croma,Shopping
Thank you gift for teacher,Gifts
Train ticket to Delhi,Travel
Baby shower gift,Gifts
LPG bill payment,Utilities
Sports equipment purchase,Shopping
Furniture from Pepperfry,Shopping
Flight booking to Goa,Travel
Tea and snacks at tapri,Food
Books from local store,Miscellaneous
Electronics from Amazon,Shopping
Paid hostel fees,Housing
Printing charges for project,Miscellaneous
Shoes from Nike,Shopping
Gift for friend's birthday,Personal Spending
Metro card top-up,Transportation
Health supplement purchase,Healthcare
Café hangout with friends,Recreation
Dinner at a local dhaba,Food
Concert tickets for Arijit Singh,Recreation
Electronics from Amazon,Shopping
Donation to charity,Miscellaneous
Cryptocurrency investment,Investments
Ordered food from Zomato,Food
Taxi fare to airport,Travel
Anniversary gift for parents,Gifts
Started a SIP in Nifty 50,Investments
Ola ride to railway station,Transportation
Maintenance charges for shared apartment,Housing
Canteen lunch at college,Food
Dividend from stocks,Income
Loan repayment to friend,Saving & Debt
Doctor's consultation fee,Healthcare
Uber ride to friend's place,Transportation
Diwali gift for family,Gifts
ATM withdrawal fee,Miscellaneous
Uber ride to friend's place,Transportation
Tea and snacks at tapri,Food
Educational software purchase,Education
Peer-to-peer lending,Investments
Electronics from Amazon,Shopping
Bought textbooks,Education
Clothes from Myntra,Shopping
Auto rickshaw fare to college,Transportation
Scholarship received,Income
Water bill for hostel,Housing
Backpack purchase for trip,Travel
Sports event tickets,Recreation
Bowling alley charges,Recreation
Weekend trip to Goa,Recreation
Interest from fixed deposit,Income
Postpaid mobile bill payment,Utilities
Shoes from Nike,Shopping
Internet bill payment,Utilities
Books from local store,Miscellaneous
Metro card top-up,Transportation
Security deposit for new room,Housing
Stationery purchase for college,Miscellaneous
Two-wheeler insurance payment,Insurance
Cable TV subscription fee,Utilities
Watch purchase from Titan,Personal Spending
Printing charges for project,Miscellaneous
Donation to charity,Gifts
Amusement park entry fee,Recreation
Purchased gold coins,Investments
Gadgets from Croma,Shopping
Gym membership fee,Healthcare
Seminar registration fee,Education
Monthly savings deposit,Saving & Debt
Broadband bill payment,Utilities
Education loan EMI,Saving & Debt
Travel guidebook purchase,Travel
Farewell gift for colleague,Gifts
Train ticket to Delhi,Travel
Groceries from local store,Shopping
Stationery purchase for college,Education
Part-time job salary,Income
Paid hostel fees,Housing
Home insurance premium,Insurance
Music concert tickets,Recreation
Weekend trip to Goa,Recreation
Yoga class payment,Healthcare
Bicycle repair charges,Transportation
Workshop registration fee,Education
Project material purchase,Education
Water bill for hostel,Housing
Cable TV subscription fee,Utilities
Hotel booking for trip,Travel
Accessories from Flipkart,Shopping
Accessories from Flipkart,Shopping
Scholarship received,Income
Shoes from Nike,Shopping
Stationery purchase for college,Miscellaneous
Educational software purchase,Education
Parking fee at mall,Transportation
Furniture from Pepperfry,Shopping
Education loan EMI,Saving & Debt
Laundry service payment,Housing
Started a SIP in Nifty 50,Investments
Sports event tickets,Recreation
Juice from fruit vendor,Food
Gym membership fee,Healthcare
Part-time job salary,Income
Workshop registration fee,Education
Birthday gift for friend,Gifts
Freelance project payment,Income
Jewelry purchase,Personal Spending
Electronics from Amazon,Shopping
Bike insurance renewal,Insurance
Post office parcel fee,Miscellaneous
Parking fee at mall,Miscellaneous
Gift for friend's birthday,Personal Spending
Flight booking to Goa,Travel
Bought stocks on Groww,Investments
Travel insurance for trip,Insurance
Online course subscription,Education
Mobile recharge for prepaid plan,Utilities
Dinner at a local dhaba,Food
Accessories from Flipkart,Shopping
Security deposit for new room,Housing
Bowling alley charges,Recreation
Piggy bank savings,Saving & Debt
Education loan EMI,Saving & Debt
Festival gift for relatives,Gifts
Backpack purchase for trip,Travel
Jewelry purchase,Personal Spending
Cashback received from Amazon,Income
Dividend from stocks,Income
Monthly allowance from parents,Income
Real estate investment,Investments
Clothes from Myntra,Shopping
Loan repayment to friend,Saving & Debt
Exam fee payment,Education
Laundry service payment,Housing
Home insurance premium,Insurance
Train ticket to hometown,Transportation
Gas cylinder refill,Utilities
Travel guidebook purchase,Travel
Netflix subscription renewal,Recreation
Cosmetics from Sephora,Personal Spending
Education loan EMI,Saving & Debt
Canteen lunch at college,Food
Haircut at local salon,Personal Spending
Electricity bill for shared apartment,Housing
Parking fee at mall,Transportation
Invested in fixed deposit,Investments
Courier service fee,Miscellaneous
Gym membership fee,Healthcare
Jewelry purchase,Personal Spending
Street food at local market,Food
Donation to charity,Miscellaneous
Shoes from Nike,Shopping
Mutual fund investment,Saving & Debt
Backpack purchase for trip,Travel
Real estate investment,Investments
Dinner at a local dhaba,Food
Library membership fee,Education
Stationery purchase for college,Education
Shoes from Nike,Shopping
Water cooler refill,Utilities
Kitchen appliances purchase,Shopping
Juice from fruit vendor,Food
Physiotherapy session fee,Healthcare
Broadband bill payment,Utilities
Scholarship received,Income
Printing charges for project,Miscellaneous
COVID-19 test fee,Healthcare
Health insurance premium,Insurance
Bought textbooks,Education
Bank service charge,Miscellaneous
Eye checkup at optician,Healthcare
Accessories from Flipkart,Shopping
Bus ticket to hometown,Travel
Courier service fee,Miscellaneous
Thank you gift for teacher,Gifts
Gym membership fee,Healthcare
Parking fee at mall,Miscellaneous
Workshop registration fee,Education
Pizza delivery from Domino's,Food
Monthly allowance from parents,Income
Furniture purchase for room,Housing
Car insurance payment,Insurance
Refund from online purchase,Income
Health insurance premium,Insurance
Sports event tickets,Recreation
Street food at local market,Food
Dividend from stocks,Income
Eye checkup at optician,Healthcare
Breakfast at college canteen,Food
Hotel booking for trip,Travel
Ola ride to railway station,Transportation
Pizza delivery from Domino's,Food
ATM withdrawal fee,Miscellaneous
Invested in mutual funds,Investments
Printing charges for project,Miscellaneous
Scholarship received,Income
Ice cream at Naturals,Food
Anniversary gift for parents,Gifts
Dental checkup at clinic,Healthcare
ATM withdrawal fee,Miscellaneous
Seminar registration fee,Education
Tea and snacks at tapri,Food
Ordered food from Zomato,Food
Diwali gift for family,Gifts
Ordered food from Zomato,Food
Tea and snacks at tapri,Food
Car insurance payment,Insurance
Real estate investment,Investments
Seminar registration fee,Education
Library membership fee,Education
Birthday gift for friend,Gifts
Scholarship received,Income
Haircut at local salon,Personal Spending
Fixed deposit interest received,Saving & Debt
Canteen lunch at college,Food
Accidental insurance for college,Insurance
Loan repayment to friend,Saving & Debt
Peer-to-peer lending,Investments
Train ticket to Delhi,Travel
Gold purchase,Saving & Debt
Ayurvedic treatment payment,Healthcare
Internet bill for PG,Housing
Electricity bill for shared apartment,Housing
Prize money from competition,Income
Monthly rent for PG accommodation,Housing
Stationery purchase for college,Education
Gym membership fee,Healthcare
Flight booking for vacation,Transportation
Canteen lunch at college,Food
Mutual fund investment,Saving & Debt
Monthly rent for PG accommodation,Housing
Eye checkup at optician,Healthcare
Dental checkup at clinic,Healthcare
Clothes from Myntra,Shopping
Ordered food from Zomato,Food
Canteen lunch at college,Food
Ayurvedic treatment payment,Healthcare
Books from local store,Miscellaneous
Kitchen appliances purchase,Shopping
Concert tickets for Arijit Singh,Recreation
Education loan EMI,Saving & Debt
Gift from relative,Income
Juice from fruit vendor,Food
Groceries from local store,Shopping
Stock market investment,Saving & Debt
Shoes from Nike,Shopping
Thank you gift for teacher,Gifts
Gadgets from Croma,Shopping
Video game purchase,Recreation
Seminar registration fee,Education
Taxi fare to airport,Travel
Workshop registration fee,Education
Gift from relative,Income
Medical insurance for family,Insurance
Stock market investment,Saving & Debt
Fuel for bike,Transportation
Paid college tuition fees,Education
Bus pass recharge,Transportation
Bank service charge,Miscellaneous
Paid college tuition fees,Education
ATM withdrawal fee,Miscellaneous
Metro card top-up,Transportation
Health supplement purchase,Healthcare
Peer-to-peer lending,Investments
Flight booking for vacation,Transportation
Juice from fruit vendor,Food
Canteen lunch at college,Food
Housewarming gift,Gifts
Monthly savings deposit,Saving & Debt
Loan repayment to friend,Saving & Debt
Kitchen appliances purchase,Shopping
Books from local store,Miscellaneous
Gift from relative,Income
Home decor items,Shopping
Electricity bill for shared apartment,Utilities
Cashback received from Amazon,Income
Part-time job salary,Income
Gym membership fee,Healthcare
Cable TV subscription fee,Utilities
Flight booking for vacation,Transportation
Bought stocks on Groww,Investments
Scholarship received,Income
Wedding gift for cousin,Gifts
Gift from relative,Income
Parking fee at mall,Transportation
Eye checkup at optician,Healthcare
Cryptocurrency investment,Investments
Health insurance premium,Insurance
Ice cream at Naturals,Food
Purchased gold coins,Investments
Water cooler refill,Utilities
Backpack purchase for trip,Travel
Perfume purchase from Nykaa,Personal Spending
Eye checkup at optician,Healthcare
Books from local store,Miscellaneous
Courier service fee,Miscellaneous
Physiotherapy session fee,Healthcare
Internet bill payment,Utilities
Canteen lunch at college,Food
Cosmetics from Sephora,Personal Spending
Medical insurance for family,Insurance
Freelance project payment,Income
Bought stocks on Groww,Investments
Cosmetics from Sephora,Personal Spending
Tea and snacks at tapri,Food
Physiotherapy session fee,Healthcare
Jewelry purchase,Personal Spending
Recurring deposit payment,Saving & Debt
Stationery purchase for college,Education
Water bill for hostel,Housing
Festival gift for relatives,Gifts
Refund from online purchase,Income
LPG bill payment,Utilities
Bus ticket to hometown,Travel
Bought shoes from Myntra,Personal Spending
COVID-19 test fee,Healthcare
Train ticket to hometown,Transportation
Life insurance premium,Insurance
Prize money from competition,Income
Travel guidebook purchase,Travel
Ola ride to railway station,Transportation
Two-wheeler insurance payment,Insurance
Exam fee payment,Education
Bus ticket to hometown,Travel
Music concert tickets,Recreation
Bus pass recharge,Transportation
Invested in fixed deposit,Investments
Weekend trip to Goa,Recreation
Monthly savings deposit,Saving & Debt
Clothes from Myntra,Shopping
Bought stocks on Groww,Investments
Bowling alley charges,Recreation
Jewelry purchase,Personal Spending
Thank you gift for teacher,Gifts
Backpack purchase for trip,Travel
Cryptocurrency investment,Investments
Wedding gift for cousin,Gifts
Bought textbooks,Education
Medicines from local pharmacy,Healthcare
Piggy bank savings,Saving & Debt
Haircut at local salon,Personal Spending
Shoes from Nike,Shopping
Books from local store,Miscellaneous
Hotel booking for trip,Travel
ETF investment,Investments
Started a SIP in Nifty 50,Investments
Purchased gold coins,Investments
Birthday gift for friend,Gifts
Electricity bill for shared apartment,Housing
Interest from fixed deposit,Income
Bus ticket to hometown,Travel
Gift for friend's birthday,Personal Spending
Courier service fee,Miscellaneous
Metro card top-up,Transportation
Freelance project payment,Income
Gym membership fee,Healthcare
Peer-to-peer lending,Investments
Shoes from Nike,Shopping
Online course subscription,Education
Bike insurance renewal,Insurance
Sunglasses from Ray-Ban,Personal Spending
Donation to charity,Miscellaneous
Gym membership fee,Healthcare
Started a SIP in Nifty 50,Investments
Perfume purchase from Nykaa,Personal Spending
Accessories from Flipkart,Shopping
Furniture purchase for room,Housing
Piggy bank savings,Saving & Debt
Invested in mutual funds,Investments
Education loan EMI,Saving & Debt
Taxi fare to airport,Travel
Part-time job salary,Income
Travel insurance payment,Travel
Home insurance premium,Insurance
Travel guidebook purchase,Travel
Accessories from Flipkart,Shopping
Ice cream at Naturals,Food
Gift for friend's birthday,Personal Spending
Education loan EMI,Saving & Debt
Pizza delivery from Domino's,Food
Canteen lunch at college,Food
Stationery purchase for college,Miscellaneous
Metro card top-up,Transportation
Medical insurance for family,Insurance
Travel insurance for trip,Insurance
Real estate investment,Investments
Home insurance premium,Insurance
Bought stocks on Groww,Investments
Bonds purchase,Investments
Bus pass recharge,Transportation
Kitchen appliances purchase,Shopping
Purchased gold coins,Investments
Security deposit for new room,Housing
Ayurvedic treatment payment,Healthcare
ATM withdrawal fee,Miscellaneous
Monthly savings deposit,Saving & Debt
Watch purchase from Titan,Personal Spending
Anniversary gift for parents,Gifts
Paid hostel fees,Housing
Ayurvedic treatment payment,Healthcare
Parking fee at mall,Transportation
Dental checkup at clinic,Healthcare
Watch purchase from Titan,Personal Spending
Ice cream at Naturals,Food
Sunglasses from Ray-Ban,Personal Spending
Cryptocurrency investment,Investments
Groceries from local store,Shopping
ATM withdrawal fee,Miscellaneous
Gift from relative,Income
Cosmetics from Sephora,Personal Spending
Internet bill for PG,Housing
Stationery purchase for college,Education
Tea and snacks at tapri,Food
Dinner at a local dhaba,Food
Sports event tickets,Recreation
Bought stocks on Groww,Investments
Monthly allowance from parents,Income
Gift from relative,Income
Festival gift for relatives,Gifts
Bank service charge,Miscellaneous
Workshop registration fee,Education
Dividend from stocks,Income
Weekend trip to Goa,Recreation
Water cooler refill,Utilities
Street food at local market,Food
Part-time job salary,Income
Monthly allowance from parents,Income
Ayurvedic treatment payment,Healthcare
Thank you gift for teacher,Gifts
Postpaid mobile bill payment,Utilities
Sports equipment purchase,Shopping
Home insurance premium,Insurance
Clothes from Myntra,Shopping
Monthly allowance from parents,Income
Tea and snacks at tapri,Food
Kitchen appliances purchase,Shopping
Concert tickets for Arijit Singh,Recreation
Juice from fruit vendor,Food
Part-time job salary,Income
Bus ticket to hometown,Travel
Shoes from Nike,Shopping
Clothes from Myntra,Shopping
Accessories from Flipkart,Shopping
Auto rickshaw fare to college,Transportation
Furniture from Pepperfry,Shopping
Seminar registration fee,Education
Electronics from Amazon,Shopping
Yoga class payment,Healthcare
Medical insurance for family,Insurance
Dividend from stocks,Income
Wedding gift for cousin,Gifts
Prize money from competition,Income
Weekend trip to Goa,Recreation
Part-time job salary,Income
Invested in fixed deposit,Investments
Room cleaning service fee,Housing
Mobile recharge for prepaid plan,Utilities
Prize money from competition,Income
Loan repayment to friend,Saving & Debt
Groceries from local store,Shopping
Gym membership fee,Healthcare
Electricity bill for shared apartment,Utilities
Metro card top-up,Transportation
Online shopping on Flipkart,Personal Spending
Bowling alley charges,Recreation
Juice from fruit vendor,Food
Breakfast at college canteen,Food
Bought shoes from Myntra,Personal Spending
Monthly rent for PG accommodation,Housing
New clothes from local market,Personal Spending
Internet bill for PG,Housing
Haircut at local salon,Personal Spending
Flight booking to Goa,Travel
Books from local store,Miscellaneous
Bought shoes from Myntra,Personal Spending
Laundry service payment,Housing
Housewarming gift,Gifts
Video game purchase,Recreation
Fixed deposit interest received,Saving & Debt
Interest from fixed deposit,Income
Paid hostel fees,Housing
Groceries from local store,Food
Tea and snacks at tapri,Food
Monthly allowance from parents,Income
Post office parcel fee,Miscellaneous
Education loan EMI,Saving & Debt
Broadband bill payment,Utilities
Watch purchase from Titan,Personal Spending
Pizza delivery from Domino's,Food
Health insurance premium,Insurance
Cable TV subscription fee,Utilities
Books from local store,Miscellaneous
Bought textbooks,Education
Invested in mutual funds,Investments
Bank service charge,Miscellaneous
Project material purchase,Education
Hotel booking for trip,Travel
Bicycle repair charges,Transportation
Housewarming gift,Gifts
Bought stocks on Groww,Investments
Electricity bill for shared apartment,Utilities
Broadband bill payment,Utilities
Netflix subscription renewal,Recreation
Gift from relative,Income
Travel guidebook purchase,Travel
Thank you gift for teacher,Gifts
Ice cream at Naturals,Food
Uber ride to friend's place,Transportation
Shoes from Nike,Shopping
Electronics from Amazon,Shopping
LPG bill payment,Utilities
Ayurvedic treatment payment,Healthcare
Groceries from local store,Shopping
Bought shoes from Myntra,Personal Spending
Prize money from competition,Income
Gold purchase,Saving & Debt
Project material purchase,Education
Maintenance charges for shared apartment,Housing
Bike insurance renewal,Insurance
Term insurance premium,Insurance
Diwali gift for family,Gifts
Recurring deposit payment,Saving & Debt
Movie tickets at PVR,Recreation
Cryptocurrency investment,Investments
Broadband bill payment,Utilities
Travel guidebook purchase,Travel
Haircut at local salon,Personal Spending
Accessories from Flipkart,Shopping
Fixed deposit interest received,Saving & Debt
Sports event tickets,Recreation
Video game purchase,Recreation
Eye checkup at optician,Healthcare
Parking fee at mall,Miscellaneous
Broadband bill payment,Utilities
Fuel for bike,Transportation
Doctor's consultation fee,Healthcare
Bowling alley charges,Recreation
Furniture purchase for room,Housing
Online shopping on Flipkart,Personal Spending
Mobile recharge for prepaid plan,Utilities
Farewell gift for colleague,Gifts
Ola ride to railway station,Transportation
Gold purchase,Saving & Debt
Train ticket to Delhi,Travel
Ola ride to railway station,Travel
Housewarming gift,Gifts
Postpaid mobile bill payment,Utilities
Monthly allowance from parents,Income
Cable TV subscription fee,Utilities
Concert tickets for Arijit Singh,Recreation
Video game purchase,Recreation
Gold purchase,Saving & Debt
Farewell gift for colleague,Gifts
Gadgets from Croma,Shopping
Cosmetics from Sephora,Personal Spending
Water bill for hostel,Housing
Cable TV subscription fee,Utilities
Cosmetics from Sephora,Personal Spending
Bowling alley charges,Recreation
Fuel for bike,Transportation
Festival gift for relatives,Gifts
Health insurance premium,Insurance
Bike insurance renewal,Insurance
Pizza delivery from Domino's,Food
Scholarship received,Income
Photocopy charges,Miscellaneous
Bonds purchase,Investments
Home insurance premium,Insurance
Broadband bill payment,Utilities
Life insurance premium,Insurance
Weekend trip to Goa,Recreation
Fixed deposit interest received,Saving & Debt
Dinner at a local dhaba,Food
Haircut at local salon,Personal Spending
Train ticket to Delhi,Travel
Room cleaning service fee,Housing
Laundry service payment,Housing
Donation to charity,Gifts
Monthly rent for PG accommodation,Housing
Freelance project payment,Income
Cable TV subscription fee,Utilities
Ice cream at Naturals,Food
Prize money from competition,Income
Tea and snacks at tapri,Food
Stationery purchase for college,Education
Laundry service payment,Housing
Ola ride to railway station,Travel
Ola ride to railway station,Travel
Paid college tuition fees,Education
Medical insurance for family,Insurance
Hotel booking for trip,Travel
Medicines from local pharmacy,Healthcare
Medical insurance for family,Insurance
Tea and snacks at tapri,Food
Electricity bill for shared apartment,Utilities
Home decor items,Shopping
Breakfast at college canteen,Food
Gas cylinder refill,Utilities
Invested in mutual funds,Investments
Prize money from competition,Income
DTH recharge,Utilities
Gift for friend's birthday,Personal Spending
Monthly rent for PG accommodation,Housing
Life insurance premium,Insurance
Wedding gift for cousin,Gifts
Jewelry purchase,Personal Spending
Scholarship received,Income
LPG bill payment,Utilities
Clothes from Myntra,Shopping
Ola ride to railway station,Travel
Educational software purchase,Education
Exam fee payment,Education
Monthly rent for PG accommodation,Housing
Ordered food from Zomato,Food
Cashback received from Amazon,Income
Laundry service payment,Housing
Stationery purchase for college,Education
Shoes from Nike,Shopping
Bank service charge,Miscellaneous
Travel insurance payment,Travel
Cable TV subscription fee,Utilities
Shoes from Nike,Shopping
Books from local store,Miscellaneous
Birthday gift for friend,Gifts
Internet bill payment,Utilities
Donation to charity,Gifts
Library membership fee,Education
Education loan EMI,Saving & Debt
Travel guidebook purchase,Travel
Medicines from local pharmacy,Healthcare
Books from local store,Miscellaneous
Gadgets from Croma,Shopping
Started a SIP in Nifty 50,Investments
Breakfast at college canteen,Food
Gas cylinder refill,Utilities
Parking fee at mall,Transportation
Water bill for hostel,Housing
Pizza delivery from Domino's,Food
Gift from relative,Income
Music concert tickets,Recreation
Home insurance premium,Insurance
Laundry service payment,Housing
Hotel booking for trip,Travel
Internet bill payment,Utilities
Library membership fee,Education
Medicines from local pharmacy,Healthcare
Bought shoes from Myntra,Personal Spending
Sports event tickets,Recreation
New clothes from local market,Personal Spending
Café hangout with friends,Recreation
Weekend trip to Goa,Recreation
Two-wheeler insurance payment,Insurance
Street food at local market,Food
Library membership fee,Education
Bus ticket to hometown,Travel
Bowling alley charges,Recreation
Mobile recharge for prepaid plan,Utilities
Mobile recharge for prepaid plan,Utilities
Festival gift for relatives,Gifts
Car insurance payment,Insurance
Peer-to-peer lending,Investments
Bicycle repair charges,Transportation
Uber ride to friend's place,Transportation
Maintenance charges for shared apartment,Housing
Invested in fixed deposit,Investments
Fuel for bike,Transportation
Gift from relative,Income
Printing charges for project,Miscellaneous
Clothes from Myntra,Shopping
Uber ride to friend's place,Transportation
Netflix subscription renewal,Recreation
Paid hostel fees,Housing
ETF investment,Investments
Diwali gift for family,Gifts
Breakfast at college canteen,Food
Gold purchase,Saving & Debt
Stationery purchase for college,Miscellaneous
Metro card top-up,Transportation
Electricity bill for shared apartment,Housing
Dinner at a local dhaba,Food
Café hangout with friends,Recreation
Physiotherapy session fee,Healthcare
Laundry service payment,Housing
Ayurvedic treatment payment,Healthcare
Farewell gift for colleague,Gifts
Donation to charity,Miscellaneous
Monthly allowance from parents,Income
Clothes from Myntra,Shopping
Courier service fee,Miscellaneous
Purchased gold coins,Investments
Medical insurance for family,Insurance
Furniture from Pepperfry,Shopping
Physiotherapy session fee,Healthcare
Train ticket to Delhi,Travel
Cryptocurrency investment,Investments
Piggy bank savings,Saving & Debt
Part-time job salary,Income
Gadgets from Croma,Shopping
Donation to charity,Miscellaneous
Anniversary gift for parents,Gifts
Maintenance charges for shared apartment,Housing
Yoga class payment,Healthcare
Printing charges for project,Miscellaneous
Dental checkup at clinic,Healthcare
Paid college tuition fees,Education
Cashback received from Amazon,Income
Bike insurance renewal,Insurance
Mutual fund investment,Saving & Debt
Started a SIP in Nifty 50,Investments
Paid college tuition fees,Education
Bike insurance renewal,Insurance
Sports event tickets,Recreation
Real estate investment,Investments
Gift for friend's birthday,Personal Spending
Broadband bill payment,Utilities
Ayurvedic treatment payment,Healthcare
